Date,ETF_Code,Stock_Symbol,Stock_Name,Weight
2026/3/3,00982A,2330,台積電,8.87
2026/3/3,00982A,6669,緯穎,5.52
2026/3/3,00982A,5536,聖暉*,5.28
2026/3/3,00982A,8299,群聯,5.01
2026/3/3,00982A,2360,致茂,4.04
2026/3/3,00982A,6139,亞翔,3.72
2026/3/3,00982A,7769,鴻勁,3.52
2026/3/3,00982A,2383,台光電,3.39
2026/3/3,00982A,3264,欣銓,3.32
2026/3/3,00982A,2345,智邦,3.15
2026/3/3,00982A,2308,台達電,3.07
2026/3/3,00982A,3017,奇鋐,2.96
2026/3/3,00982A,3491,昇達科,2.88
2026/3/3,00982A,6257,矽格,2.75
2026/3/3,00982A,3036,文曄,2.61
2026/3/3,00982A,2454,聯發科,2.61
2026/3/3,00982A,2449,京元電子,2.49
2026/3/3,00982A,2441,超豐,2.44
2026/3/3,00982A,6223,旺矽,2.4
2026/3/3,00982A,3665,貿聯-KY,2.01
2026/3/3,00982A,6274,台燿,1.95
2026/3/3,00982A,3324,雙鴻,1.91
2026/3/3,00982A,2428,興勤,1.81
2026/3/3,00982A,5439,高技,1.75
2026/3/3,00982A,8210,勤誠,1.64
2026/3/3,00982A,4958,臻鼎-KY,1.62
2026/3/3,00982A,6805,富世達,1.57
2026/3/3,00982A,2421,建準,1.56
2026/3/3,00982A,2316,楠梓電,1.39
2026/3/3,00982A,3008,大立光,1.28
2026/3/3,00982A,2404,漢唐,1.23
2026/3/3,00982A,8996,高力,1.02
2026/3/3,00982A,1785,光洋科,0.9
2026/3/3,00982A,2606,裕民,0.87
2026/3/3,00982A,5289,宜鼎,0.77
2026/3/3,00982A,8358,金居,0.68
2026/3/3,00982A,2059,川湖,0.6
2026/3/3,00982A,3231,緯創,0.52
2026/3/3,00982A,2472,立隆電,0.44
2026/3/3,00982A,3711,日月光投控,0.41
2026/3/3,00982A,2368,金像電,0.38
2026/3/3,00982A,2327,國巨*,0.37
2026/3/3,00982A,5425,台半,0.33
2026/3/3,00982A,2451,創見,0.31
2026/3/3,00982A,2481,強茂,0.3
2026/3/3,00982A,3376,新日興,0.24
2026/3/3,00982A,9938,百和,0.23
2026/3/3,00982A,6446,藥華藥,0.21
2026/3/3,00982A,3529,力旺,0.18
2026/3/3,00982A,6177,達麗,0.18
2026/3/3,00982A,5274,信驊,0.17
2026/3/3,00982A,8046,南電,0.17
2026/3/3,00982A,8464,億豐,0.17
2026/3/3,00982A,2885,元大金,0.16
2026/3/3,00982A,1319,東陽,0.11
2026/3/3,00982A,4441,振大環球,0.04
2026/3/3,00982A,6768,志強-KY,0.01
2026/3/3,00982A,2548,華固,0.01
2026/3/3,00982A,3443,創意,0.01
2026/3/3,00982A,1519,華城,0
2026/3/3,00982A,7722,LINEPAY,0
2026/3/3,00982A,3706,神達,0
2026/3/3,00982A,2886,兆豐金,0
2026/3/3,00982A,2881,富邦金,0
