Date,ETF_Code,Stock_Symbol,Stock_Name,Weight
2026/3/3,00991A,2330,台灣積體,20.08
2026/3/3,00991A,8299,群聯電子,8.155
2026/3/3,00991A,2408,南亞科技,7.946
2026/3/3,00991A,2383,台光電子,6.468
2026/3/3,00991A,3037,欣興電子,5.737
2026/3/3,00991A,2308,台達電子,5.708
2026/3/3,00991A,7769,鴻勁精密,5.062
2026/3/3,00991A,6274,台燿科技,3.646
2026/3/3,00991A,5274,信驊科技,3.584
2026/3/3,00991A,6442,光紅建聖,3.068
2026/3/3,00991A,6223,旺矽科技,2.819
2026/3/3,00991A,3189,景碩科技,2.752
2026/3/3,00991A,2345,智邦科技,2.639
2026/3/3,00991A,2368,金像電子,2.61
2026/3/3,00991A,3017,奇鋐科技,2.572
2026/3/3,00991A,2449,京元電子,2.362
2026/3/3,00991A,3653,健策精密,2.354
2026/3/3,00991A,2404,漢唐集成,2.162
2026/3/3,00991A,2344,華邦電子,1.917
2026/3/3,00991A,1303,南亞塑膠,1.909
2026/3/3,00991A,2337,旺宏電子,1.902
2026/3/3,00991A,8358,金居開發,1.844
2026/3/3,00991A,6515,穎崴科技,0.018
2026/3/3,00991A,6669,緯穎科技,0.016
2026/3/3,00991A,6510,中華精測,0.014
2026/3/3,00991A,3044,健鼎科技,0.013
2026/3/3,00991A,3661,世芯-KY,0.013
2026/3/3,00991A,2059,川湖科技,0.013
2026/3/3,00991A,3711,日月光投,0.013
2026/3/3,00991A,1477,聚陽實業,0.011
2026/3/3,00991A,2382,廣達電腦,0.01
2026/3/3,00991A,3443,創意電子,0.01
2026/3/3,00991A,6239,力成科技,0.008
2026/3/3,00991A,2317,鴻海精密,0.008
2026/3/3,00991A,2603,長榮海運,0.008
2026/3/3,00991A,2454,聯發科技,0.007
2026/3/3,00991A,3665,貿聯-KY,0.006
2026/3/3,00991A,2645,長榮航太,0.006
2026/3/3,00991A,2360,致茂電子,0.005
2026/3/3,00991A,1590,亞德客-KY,0.005
2026/3/3,00991A,3231,緯創資通,0.005
2026/3/3,00991A,6781,AES-KY,0.004
2026/3/3,00991A,5347,世界先進,0.004
2026/3/3,00991A,1519,華城電機,0.004
2026/3/3,00991A,8210,勤誠興業,0.004
2026/3/3,00991A,2881,富邦金融,0.003
2026/3/3,00991A,2882,國泰金融,0.003
2026/3/3,00991A,2891,中國信託,0.002
2026/3/3,00991A,2885,元大金融,0.002
2026/3/3,00991A,3036,文曄科技,0.001
2026/3/4,00991A,2330,台灣積體,20.095
