Date,ETF_Code,Stock_Symbol,Stock_Name,Weight
2026/4/13,00981A,1303,南亞,1.39
2026/4/13,00981A,1319,東陽,0.03
2026/4/13,00981A,1326,台化,0.36
2026/4/13,00981A,1815,富喬,0
2026/4/13,00981A,2002,中鋼,0.08
2026/4/13,00981A,2308,台達電,6.28
2026/4/13,00981A,2313,華通,0
2026/4/13,00981A,2327,國巨*,3.1
2026/4/13,00981A,2330,台積電,9.4
2026/4/13,00981A,2345,智邦,5.5
2026/4/13,00981A,2357,華碩,0
2026/4/13,00981A,2368,金像電,5.65
2026/4/13,00981A,2383,台光電,7.71
2026/4/13,00981A,2404,漢唐,0.59
2026/4/13,00981A,2439,美律,0
2026/4/13,00981A,2449,京元電子,2.13
2026/4/13,00981A,2454,聯發科,0.69
2026/4/13,00981A,2481,強茂,0.13
2026/4/13,00981A,3008,大立光,0.02
2026/4/13,00981A,3017,奇鋐,5.47
2026/4/13,00981A,3037,欣興,4.71
2026/4/13,00981A,3045,台灣大,0
2026/4/13,00981A,3189,景碩,0.8
2026/4/13,00981A,3211,順達,1.14
2026/4/13,00981A,3217,優群,0.06
2026/4/13,00981A,3264,欣銓,0.45
2026/4/13,00981A,3324,雙鴻,0.12
2026/4/13,00981A,3376,新日興,0.23
2026/4/13,00981A,3443,創意,0.61
2026/4/13,00981A,3583,辛耘,0.3
2026/4/13,00981A,3653,健策,5.69
2026/4/13,00981A,3661,世芯-KY,0.59
2026/4/13,00981A,3665,貿聯-KY,5.65
2026/4/13,00981A,3711,日月光投控,2.12
2026/4/13,00981A,4979,華星光,0.39
2026/4/13,00981A,5274,信驊,3.19
2026/4/13,00981A,5347,世界,0
2026/4/13,00981A,6147,頎邦,0.73
2026/4/13,00981A,6187,萬潤,0.33
2026/4/13,00981A,6191,精成科,0.26
2026/4/13,00981A,6223,旺矽,5.29
2026/4/13,00981A,6274,台燿,1.92
2026/4/13,00981A,6488,環球晶,0.56
2026/4/13,00981A,6510,精測,1.68
2026/4/13,00981A,6515,穎崴,1.96
2026/4/13,00981A,6669,緯穎,0.23
