Date,Open,High,Low,Close
2009/12/23,124.8,136.2,121.0,136.2
2009/12/24,135.7,136.2,128.6,128.6
2009/12/25,128.6,131.9,125.7,126.7
2009/12/28,127.1,129.5,125.2,127.1
2009/12/29,127.6,141.9,127.6,139.5
2009/12/30,138.1,138.1,130.0,132.4
2009/12/31,131.4,131.4,128.6,128.6
2010/01/04,129.5,130.5,126.7,126.7
2010/01/05,128.6,129.0,121.9,122.4
2010/01/06,121.9,124.8,114.3,115.2
2010/01/07,116.2,117.1,107.6,107.6
2010/01/08,106.7,110.5,102.4,110.0
2010/01/11,109.0,110.0,106.2,107.6
2010/01/12,107.6,111.4,107.1,109.5
2010/01/13,108.6,109.5,107.1,108.1
2010/01/14,109.5,111.9,108.6,110.0
2010/01/15,111.4,113.8,109.0,112.4
2010/01/18,116.2,120.0,114.3,120.0
2010/01/19,124.8,124.8,119.0,121.9
2010/01/20,121.9,123.3,116.2,116.2
2010/01/21,114.8,118.1,113.3,114.8
2010/01/22,111.4,113.3,110.5,110.5
2010/01/25,109.0,110.5,106.7,106.7
2010/01/26,106.7,107.6,99.5,100.0
2010/01/27,101.4,102.4,95.2,96.7
2010/01/28,98.6,99.5,96.7,98.6
2010/01/29,96.7,96.7,94.3,94.3
2010/02/01,94.5,94.8,91.5,93.1
2010/02/02,94.3,95.0,88.6,88.6
2010/02/03,89.0,91.3,87.7,89.7
2010/02/04,90.7,93.0,89.5,91.3
2010/02/05,87.6,89.2,85.7,85.9
2010/02/08,83.8,86.8,83.8,85.7
2010/02/09,85.3,88.1,85.0,87.3
2010/02/10,88.2,90.3,87.7,87.7
2010/02/22,89.3,89.3,84.9,84.9
2010/02/23,84.8,89.0,84.3,87.6
2010/02/24,86.5,88.1,86.3,87.4
2010/02/25,88.2,91.2,87.5,88.2
2010/02/26,88.4,88.9,86.7,86.8
2010/03/01,86.8,88.1,86.8,87.2
2010/03/02,88.2,89.8,87.6,89.0
2010/03/03,90.0,90.0,87.7,88.2
2010/03/04,88.2,90.5,88.2,89.3
2010/03/05,90.0,90.0,88.6,89.1
2010/03/08,89.7,90.2,89.5,90.0
2010/03/09,90.4,96.2,89.9,96.2
2010/03/10,97.6,98.1,94.0,94.3
2010/03/11,94.4,97.1,94.4,94.8
2010/03/12,95.0,96.2,93.8,93.8
2010/03/15,93.8,94.5,91.0,91.0
2010/03/16,91.0,92.9,91.0,91.4
