Stock_Symbol,Stock_Name
1210,大成
1303,南亞塑膠
1319,東陽實業廠
1326,台化
1477,聚陽實業
1504,東元電機
1519,華城電機
1560,中砂
1590,亞德客國際集團
1605,華新麗華
1702,南僑投資控股
1717,長興
1785,光洋科
1802,台玻
1815,富喬
2002,中鋼
2027,大成鋼
2059,川湖科技
2301,光寶科技
2303,聯電
2308,台達電子工業
2313,華通電腦
2316,楠梓電
2317,鴻海精密工業
2327,國巨股份
2330,台積電
2337,旺宏電子
2344,華邦電子
2345,智邦科技
2347,聯強
2354,鴻準
2356,英業達
2357,華碩電腦
2360,致茂電子
2368,金像電子（股）公司
2376,技嘉科技
2379,瑞昱半導體
2382,廣達電腦
2383,台光電子材料
2385,群光
2393,億光電子工業
2402,毅嘉
2404,漢唐集成
2408,南亞科技
2412,中華電信
2421,建準
2428,興勤
2439,美律
2441,超豐
2449,京元電子
2451,創見
2454,聯發科技
2467,志聖
2472,立隆電
2481,強茂
2486,一詮
2548,華固建設
2603,長榮海運
2606,裕民
2609,陽明
2610,中華航空
2618,長榮航
2645,長榮航太
2723,開曼美食達人
2881,富邦金融控股
2882,國泰金融
2883,凱基金融控股
2884,玉山金融控股
2885,元大金融
2886,兆豐金
2890,永豐金融
2891,中國信託金融控股
3008,大立光
3017,奇鋐科技
3023,信邦
3030,德律
3033,威健
3034,聯詠
3036,文曄科技
3037,欣興電子
3042,晶技
3044,健鼎科技
3045,台灣大哥
3081,聯亞
3105,穩懋
3131,弘塑科技
3163,波若威
3189,景碩科技
3211,順達科技
3217,優群
3227,原相科技
3231,緯創資通
3260,威剛
3264,欣銓科技
3293,鈊象電子
3324,雙鴻科技
3374,精  材
3376,新日興
3406,玉晶光
3443,創意電子
3450,聯鈞光電
3481,群創
3491,昇達科技
3515,華擎
3526,凡甲科技
3529,力旺電子
3533,嘉澤端子工業
3583,辛耘
3605,宏致電子
3653,健策精密工業
3661,世芯電子
3665,貿聯控股（BizLink Holding In
3694,海華
3702,大聯大控股
3706,神達控股
3711,日月光投資控股
3714,富采投資控股
3715,定穎投控
4441,振大環球
4749,新應材
4770,上品
4915,致伸科技
4938,和碩
4958,臻鼎-KY
4966,譜瑞-KY
4979,華星光
4991,環宇-KY
50,元大台灣50
52,富邦科技
5234,達興材料
5269,祥碩
5274,信驊科技
5289,宜鼎
5347,世界先進
5425,台半
5434,崇越科技
5439,高技企業
5534,長虹建設
5536,聖暉*
5904,寶雅國際
6104,創惟
6121,新普科技
6138,茂達
6139,亞翔
6143,振曜
6147,頎邦
6177,達麗
6187,萬潤科技
6191,精成科
6196,帆宣
6213,聯茂電子
6223,旺矽科技
6239,力成科技
6257,矽格
6274,台燿科技
6278,台表科
6285,啟碁
6409,旭隼科技
6414,樺漢
6415,矽力*-KY
6442,光聖
6446,藥華醫藥
6472,保瑞
6488,環球晶
6505,台塑石化
6510,精測
6515,穎崴科技
6526,達發
6531,愛普*
6561,是方電訊
6584,南俊國際
6669,緯穎科技服務
6670,復盛應用科技
6683,雍智科技
6691,洋基工程
6715,嘉  基
6757,台灣虎航
6768,志強-KY
6781,AES-KY
6805,富世達股
6811,宏碁資訊服務
6831,邁科科技
6863,Arizon RFID Technology
7722,LINEPAY
7751,竑騰
7769,鴻勁精密
8016,矽創電子
8021,尖點
8028,昇陽國際半導體
8039,台虹科技
8046,南電
8069,元太
8114,振樺電子
8210,勤誠興業
8299,群聯電子
8358,金居開發
8464,億豐綜合
8996,高力熱處理工業
9802,鈺齊國際
9907,統一實業
9938,百和
9945,潤泰創新國際
