Stock_Symbol,Stock_Name,Exchange
0050,元大台灣50,TWSE
0052,富邦科技,TWSE
1210,大成,TWSE
1303,南亞塑膠,TWSE
1319,東陽實業廠,TWSE
1326,台化,TWSE
1477,聚陽實業,TWSE
1504,東元電機,TWSE
1519,華城電機,TWSE
1560,中砂,TWSE
1590,亞德客國際集團,TWSE
1605,華新麗華,TWSE
1702,南僑投資控股,TWSE
1717,長興,TWSE
1785,光洋科,TPEX
1802,台玻,TWSE
1815,富喬,TPEX
2002,中鋼,TWSE
2027,大成鋼,TWSE
2059,川湖科技,TWSE
2301,光寶科技,TWSE
2303,聯電,TWSE
2308,台達電子工業,TWSE
2313,華通電腦,TWSE
2316,楠梓電,TWSE
2317,鴻海精密工業,TWSE
2327,國巨股份,TWSE
2330,台積電,TWSE
2337,旺宏電子,TWSE
2344,華邦電子,TWSE
2345,智邦科技,TWSE
2347,聯強,TWSE
2351,順德,TWSE
2354,鴻準,TWSE
2356,英業達,TWSE
2357,華碩電腦,TWSE
2360,致茂電子,TWSE
2368,金像電子（股）公司,TWSE
2376,技嘉科技,TWSE
2377,微星,TWSE
2379,瑞昱半導體,TWSE
2382,廣達電腦,TWSE
2383,台光電子材料,TWSE
2385,群光,TWSE
2393,億光電子工業,TWSE
2402,毅嘉,TWSE
2404,漢唐集成,TWSE
2408,南亞科技,TWSE
2412,中華電信,TWSE
2421,建準,TWSE
2428,興勤,TWSE
2439,美律,TWSE
2441,超豐,TWSE
2449,京元電子,TWSE
2451,創見,TWSE
2454,聯發科技,TWSE
2455,全新,TWSE
2467,志聖,TWSE
2472,立隆電,TWSE
2481,強茂,TWSE
2486,一詮,TWSE
2548,華固建設,TWSE
2603,長榮海運,TWSE
2606,裕民,TWSE
2609,陽明,TWSE
2610,中華航空,TWSE
2618,長榮航,TWSE
2645,長榮航太,TWSE
2723,開曼美食達人,TWSE
2881,富邦金融控股,TWSE
2882,國泰金融,TWSE
2883,凱基金融控股,TWSE
2884,玉山金融控股,TWSE
2885,元大金融,TWSE
2886,兆豐金,TWSE
2890,永豐金融,TWSE
2891,中國信託金融控股,TWSE
3008,大立光,TWSE
3017,奇鋐科技,TWSE
3023,信邦,TWSE
3030,德律,TWSE
3033,威健,TWSE
3034,聯詠,TWSE
3036,文曄科技,TWSE
3037,欣興電子,TWSE
3042,晶技,TWSE
3044,健鼎科技,TWSE
3045,台灣大哥,TWSE
3081,聯亞光電工業,TPEX
3090,日電貿,TWSE
3105,穩懋,TPEX
3131,弘塑科技,TPEX
3163,波若威,TPEX
3189,景碩科技,TWSE
3211,順達科技,TPEX
3217,優群,TPEX
3227,原相科技,TPEX
3231,緯創資通,TWSE
3260,威剛,TPEX
3264,欣銓科技,TPEX
3293,鈊象電子,TPEX
3324,雙鴻科技,TPEX
3363,上詮,TPEX
3374,精  材,TPEX
3376,新日興,TWSE
3406,玉晶光,TWSE
3443,創意電子,TWSE
3450,聯鈞光電,TWSE
3481,群創,TWSE
3491,昇達科技,TPEX
3515,華擎,TWSE
3526,凡甲科技,TPEX
3529,力旺電子,TPEX
3533,嘉澤端子工業,TWSE
3583,辛耘,TWSE
3605,宏致電子,TWSE
3653,健策精密工業,TWSE
3661,世芯電子,TWSE
3665,貿聯控股（BizLink Holding In,TWSE
3694,海華,TWSE
3702,大聯大控股,TWSE
3706,神達控股,TWSE
3711,日月光投資控股,TWSE
3714,富采投資控股,TWSE
3715,定穎投控,TWSE
4441,振大環球,TWSE
4749,新應材,TPEX
4770,上品,TWSE
4915,致伸科技,TWSE
4938,和碩,TWSE
4958,臻鼎-KY,TWSE
4966,譜瑞-KY,TPEX
4979,華星光,TPEX
4991,環宇-KY,TPEX
5234,達興材料,TWSE
5269,祥碩,TWSE
5274,信驊科技,TPEX
5289,宜鼎,TPEX
5347,世界先進,TPEX
5425,台半,TPEX
5434,崇越科技,TWSE
5439,高技企業,TPEX
5534,長虹建設,TWSE
5536,聖暉*,TPEX
5871,中租-KY,TWSE
5904,寶雅國際,TPEX
6104,創惟,TPEX
6121,新普科技,TPEX
6138,茂達,TPEX
6139,亞翔,TWSE
6143,振曜,TPEX
6147,頎邦,TPEX
6177,達麗,TWSE
6187,萬潤科技,TPEX
6191,精成科,TWSE
6196,帆宣,TWSE
6213,聯茂電子,TWSE
6223,旺矽科技,TPEX
6239,力成科技,TWSE
6257,矽格,TWSE
6271,同欣電,TWSE
6274,台燿科技,TPEX
6278,台表科,TWSE
6285,啟碁,TWSE
6409,旭隼科技,TWSE
6414,樺漢,TWSE
6415,矽力*-KY,TWSE
6442,光聖,TWSE
6446,藥華醫藥,TWSE
6472,保瑞,TWSE
6488,環球晶,TPEX
6505,台塑石化,TWSE
6510,精測,TPEX
6515,穎崴科技,TWSE
6526,達發,TWSE
6531,愛普*,TWSE
6561,是方電訊,TPEX
6584,南俊國際,TPEX
6669,緯穎科技服務,TWSE
6670,復盛應用科技,TWSE
6683,雍智科技,TPEX
6691,洋基工程,TWSE
